"data";"valor"
"01/01/2010";"1,7798"
"01/02/2010";"1,8416"
"01/03/2010";"1,7858"
"01/04/2010";"1,7566"
"01/05/2010";"1,8132"
"01/06/2010";"1,8065"
"01/07/2010";"1,7696"
"01/08/2010";"1,7596"
"01/09/2010";"1,7187"
"01/10/2010";"1,6835"
"01/11/2010";"1,7133"
"01/12/2010";"1,6934"
"01/01/2011";"1,6749"
"01/02/2011";"1,6680"
"01/03/2011";"1,6591"
"01/04/2011";"1,5864"
"01/05/2011";"1,6135"
"01/06/2011";"1,5870"
"01/07/2011";"1,5639"
"01/08/2011";"1,5970"
"01/09/2011";"1,7498"
"01/10/2011";"1,7726"
"01/11/2011";"1,7905"
"01/12/2011";"1,8369"
"01/01/2012";"1,7897"
"01/02/2012";"1,7184"
"01/03/2012";"1,7953"
"01/04/2012";"1,8548"
"01/05/2012";"1,9860"
"01/06/2012";"2,0492"
"01/07/2012";"2,0287"
"01/08/2012";"2,0294"
"01/09/2012";"2,0281"
"01/10/2012";"2,0298"
"01/11/2012";"2,0678"
"01/12/2012";"2,0778"
"01/01/2013";"2,0311"
"01/02/2013";"1,9733"
"01/03/2013";"1,9828"
"01/04/2013";"2,0022"
"01/05/2013";"2,0348"
"01/06/2013";"2,1730"
"01/07/2013";"2,2522"
"01/08/2013";"2,3422"
"01/09/2013";"2,2705"
"01/10/2013";"2,1886"
"01/11/2013";"2,2954"
"01/12/2013";"2,3455"
"01/01/2014";"2,3822"
"01/02/2014";"2,3837"
"01/03/2014";"2,3261"
"01/04/2014";"2,2328"
"01/05/2014";"2,2209"
"01/06/2014";"2,2355"
"01/07/2014";"2,2246"
"01/08/2014";"2,2680"
"01/09/2014";"2,3329"
"01/10/2014";"2,4483"
"01/11/2014";"2,5484"
"01/12/2014";"2,6394"
"01/01/2015";"2,6342"
"01/02/2015";"2,8165"
"01/03/2015";"3,1395"
"01/04/2015";"3,0432"
"01/05/2015";"3,0617"
"01/06/2015";"3,1117"
"01/07/2015";"3,2231"
"01/08/2015";"3,5143"
"01/09/2015";"3,9065"
"01/10/2015";"3,8801"
"01/11/2015";"3,7765"
"01/12/2015";"3,8711"
"01/01/2016";"4,0524"
"01/02/2016";"3,9737"
"01/03/2016";"3,7039"
"01/04/2016";"3,5658"
"01/05/2016";"3,5393"
"01/06/2016";"3,4245"
"01/07/2016";"3,2756"
"01/08/2016";"3,2097"
"01/09/2016";"3,2564"
"01/10/2016";"3,1858"
"01/11/2016";"3,3420"
"01/12/2016";"3,3523"
"01/01/2017";"3,1966"
"01/02/2017";"3,1042"
"01/03/2017";"3,1279"
"01/04/2017";"3,1362"
"01/05/2017";"3,2095"
"01/06/2017";"3,2954"
"01/07/2017";"3,2061"
"01/08/2017";"3,1509"
"01/09/2017";"3,1348"
"01/10/2017";"3,1912"
"01/11/2017";"3,2594"
"01/12/2017";"3,2919"
"01/01/2018";"3,2106"
"01/02/2018";"3,2415"
"01/03/2018";"3,2792"
"01/04/2018";"3,4075"
"01/05/2018";"3,6361"
"01/06/2018";"3,7732"
"01/07/2018";"3,8288"
"01/08/2018";"3,9298"
"01/09/2018";"4,1165"
"01/10/2018";"3,7584"
"01/11/2018";"3,7867"
"01/12/2018";"3,8851"
"01/01/2019";"3,7417"
"01/02/2019";"3,7236"
"01/03/2019";"3,8465"
"01/04/2019";"3,8962"
"01/05/2019";"4,0015"
"01/06/2019";"3,8588"
"01/07/2019";"3,7793"
"01/08/2019";"4,0200"
"01/09/2019";"4,1215"
"01/10/2019";"4,0870"
"01/11/2019";"4,1553"
"01/12/2019";"4,1096"
"01/01/2020";"4,1495"
"01/02/2020";"4,3410"
"01/03/2020";"4,8839"
"01/04/2020";"5,3256"
"01/05/2020";"5,6434"
"01/06/2020";"5,1966"
"01/07/2020";"5,2802"
"01/08/2020";"5,4612"
"01/09/2020";"5,3995"
"01/10/2020";"5,6258"
"01/11/2020";"5,4178"
"01/12/2020";"5,1456"
"01/01/2021";"5,3562"
"01/02/2021";"5,4165"
"01/03/2021";"5,6461"
"01/04/2021";"5,5621"
"01/05/2021";"5,2911"
"01/06/2021";"5,0319"
"01/07/2021";"5,1567"
"01/08/2021";"5,2517"
"01/09/2021";"5,2797"
"01/10/2021";"5,5400"
"01/11/2021";"5,5569"
"01/12/2021";"5,6514"
"01/01/2022";"5,5341"
"01/02/2022";"5,1966"
"01/03/2022";"4,9684"
"01/04/2022";"4,7580"
"01/05/2022";"4,9551"
"01/06/2022";"5,0492"
"01/07/2022";"5,3681"
"01/08/2022";"5,1433"
"01/09/2022";"5,2370"
"01/10/2022";"5,2503"
"01/11/2022";"5,2747"
"01/12/2022";"5,2424"
"01/01/2023";"5,2007"
"01/02/2023";"5,1717"
"01/03/2023";"5,2115"
"01/04/2023";"5,0197"
"01/05/2023";"4,9828"
"01/06/2023";"4,8516"
"01/07/2023";"4,8008"
"01/08/2023";"4,9035"
"01/09/2023";"4,9370"
"01/10/2023";"5,0648"
"01/11/2023";"4,8983"
"01/12/2023";"4,8972"
"01/01/2024";"4,9144"
"01/02/2024";"4,9644"
"01/03/2024";"4,9801"
"01/04/2024";"5,1291"
"01/05/2024";"5,1330"
"01/06/2024";"5,3890"
"01/07/2024";"5,5420"
"01/08/2024";"5,5526"
"01/09/2024";"5,5416"
"01/10/2024";"5,6241"
"01/11/2024";"5,8071"
"01/12/2024";"6,0970"
