"data";"valor"
"01/01/2010";"1430550"
"01/02/2010";"1441519"
"01/03/2010";"1458091"
"01/04/2010";"1474310"
"01/05/2010";"1505517"
"01/06/2010";"1536422"
"01/07/2010";"1556280"
"01/08/2010";"1589856"
"01/09/2010";"1621541"
"01/10/2010";"1651813"
"01/11/2010";"1685712"
"01/12/2010";"1712708"
"01/01/2011";"1718711"
"01/02/2011";"1741509"
"01/03/2011";"1759678"
"01/04/2011";"1783487"
"01/05/2011";"1812128"
"01/06/2011";"1840157"
"01/07/2011";"1861598"
"01/08/2011";"1894713"
"01/09/2011";"1935781"
"01/10/2011";"1950658"
"01/11/2011";"1988613"
"01/12/2011";"2033954"
"01/01/2012";"2033185"
"01/02/2012";"2041040"
"01/03/2012";"2078912"
"01/04/2012";"2106585"
"01/05/2012";"2142061"
"01/06/2012";"2175135"
"01/07/2012";"2192888"
"01/08/2012";"2219866"
"01/09/2012";"2244474"
"01/10/2012";"2276286"
"01/11/2012";"2310841"
"01/12/2012";"2368338"
"01/01/2013";"2369367"
"01/02/2013";"2386809"
"01/03/2013";"2430295"
"01/04/2013";"2452502"
"01/05/2013";"2490697"
"01/06/2013";"2535007"
"01/07/2013";"2548584"
"01/08/2013";"2581362"
"01/09/2013";"2600691"
"01/10/2013";"2607807"
"01/11/2013";"2650448"
"01/12/2013";"2710771"
"01/01/2014";"2714427"
"01/02/2014";"2725695"
"01/03/2014";"2752309"
"01/04/2014";"2771347"
"01/05/2014";"2798043"
"01/06/2014";"2824658"
"01/07/2014";"2830870"
"01/08/2014";"2857749"
"01/09/2014";"2896550"
"01/10/2014";"2919585"
"01/11/2014";"2956788"
"01/12/2014";"3017614"
"01/01/2015";"3021728"
"01/02/2015";"3033738"
"01/03/2015";"3070866"
"01/04/2015";"3070369"
"01/05/2015";"3091432"
"01/06/2015";"3108995"
"01/07/2015";"3118097"
"01/08/2015";"3142924"
"01/09/2015";"3172985"
"01/10/2015";"3165658"
"01/11/2015";"3185470"
"01/12/2015";"3228530"
"01/01/2016";"3207025"
"01/02/2016";"3191152"
"01/03/2016";"3169659"
"01/04/2016";"3149609"
"01/05/2016";"3156260"
"01/06/2016";"3138980"
"01/07/2016";"3125455"
"01/08/2016";"3124633"
"01/09/2016";"3121068"
"01/10/2016";"3104644"
"01/11/2016";"3113774"
"01/12/2016";"3116780"
"01/01/2017";"3085111"
"01/02/2017";"3082132"
"01/03/2017";"3089526"
"01/04/2017";"3081488"
"01/05/2017";"3075475"
"01/06/2017";"3088141"
"01/07/2017";"3062988"
"01/08/2017";"3061725"
"01/09/2017";"3061845"
"01/10/2017";"3066751"
"01/11/2017";"3078605"
"01/12/2017";"3103339"
"01/01/2018";"3076843"
"01/02/2018";"3070208"
"01/03/2018";"3090092"
"01/04/2018";"3099540"
"01/05/2018";"3113095"
"01/06/2018";"3134300"
"01/07/2018";"3129787"
"01/08/2018";"3161546"
"01/09/2018";"3176862"
"01/10/2018";"3172201"
"01/11/2018";"3210680"
"01/12/2018";"3263335"
"01/01/2019";"3235610"
"01/02/2019";"3246698"
"01/03/2019";"3272242"
"01/04/2019";"3271867"
"01/05/2019";"3291074"
"01/06/2019";"3301500"
"01/07/2019";"3296089"
"01/08/2019";"3332876"
"01/09/2019";"3368627"
"01/10/2019";"3380207"
"01/11/2019";"3423180"
"01/12/2019";"3475816"
"01/01/2020";"3465204"
"01/02/2020";"3484597"
"01/03/2020";"3583277"
"01/04/2020";"3584114"
"01/05/2020";"3596217"
"01/06/2020";"3623349"
"01/07/2020";"3670793"
"01/08/2020";"3742633"
"01/09/2020";"3821510"
"01/10/2020";"3879416"
"01/11/2020";"3957987"
"01/12/2020";"4021333"
"01/01/2021";"4018486"
"01/02/2021";"4045800"
"01/03/2021";"4106923"
"01/04/2021";"4127515"
"01/05/2021";"4177240"
"01/06/2021";"4214012"
"01/07/2021";"4271865"
"01/08/2021";"4346060"
"01/09/2021";"4441056"
"01/10/2021";"4511956"
"01/11/2021";"4597507"
"01/12/2021";"4682852"
"01/01/2022";"4682131"
"01/02/2022";"4727818"
"01/03/2022";"4794583"
"01/04/2022";"4833732"
"01/05/2022";"4889397"
"01/06/2022";"4965603"
"01/07/2022";"4999244"
"01/08/2022";"5072711"
"01/09/2022";"5164775"
"01/10/2022";"5215990"
"01/11/2022";"5285657"
"01/12/2022";"5366069"
"01/01/2023";"5373231"
"01/02/2023";"5370950"
"01/03/2023";"5424811"
"01/04/2023";"5426307"
"01/05/2023";"5453708"
"01/06/2023";"5479459"
"01/07/2023";"5484871"
"01/08/2023";"5559063"
"01/09/2023";"5625945"
"01/10/2023";"5653808"
"01/11/2023";"5711103"
"01/12/2023";"5805157"
"01/01/2024";"5794707"
"01/02/2024";"5815954"
"01/03/2024";"5899742"
"01/04/2024";"5915538"
"01/05/2024";"5953960"
"01/06/2024";"6041898"
"01/07/2024";"6069205"
"01/08/2024";"6135298"
"01/09/2024";"6216528"
"01/10/2024";"6275117"
"01/11/2024";"6365690"
"01/12/2024";"6464602"
